IDpol,Exposure,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Area,Density,Region,claim_occurred,claim_amount,premium_paid
27,1.0,6.916666666666666,12,57,50.0,B12,Diesel,A,393.0,Centre,False,0.0,283.09
28,1.0,7.111111111111111,12,54,68.0,B12,Diesel,A,393.0,Centre,True,332.02,322.56
28,1.0,7.111111111111111,12,54,68.0,B12,Diesel,A,393.0,Centre,False,0.0,333.85
28,1.0,7.111111111111111,12,54,68.0,B12,Diesel,A,393.0,Centre,False,0.0,333.85
29,1.0,6.944444444444445,4,53,50.0,B12,Diesel,B,393.0,Centre,False,0.0,318.97
29,1.0,6.944444444444445,4,53,50.0,B12,Diesel,B,393.0,Centre,False,0.0,571.49
30,1.0,6.944444444444445,17,75,50.0,B12,Diesel,B,393.0,Centre,False,0.0,304.47
30,1.0,6.944444444444445,17,75,50.0,B12,Diesel,B,393.0,Centre,False,0.0,313.61
30,1.0,6.944444444444445,17,75,50.0,B12,Diesel,B,393.0,Centre,False,0.0,315.18
31,1.0,6.944444444444445,17,75,50.0,B12,Diesel,B,393.0,Centre,False,0.0,326.33
31,1.0,6.944444444444445,17,75,50.0,B12,Diesel,B,393.0,Centre,False,0.0,336.12
31,1.0,6.944444444444445,17,75,50.0,B12,Diesel,B,393.0,Centre,False,0.0,337.82
32,1.0,6.666666666666666,15,35,68.0,B12,Regular,A,393.0,Centre,True,441.0,235.64
32,1.0,6.666666666666666,15,35,68.0,B12,Regular,A,393.0,Centre,False,0.0,236.83
33,1.0,5.972222222222222,28,65,50.0,B12,Regular,A,393.0,Centre,False,0.0,249.68
33,1.0,5.972222222222222,28,65,50.0,B12,Regular,A,393.0,Centre,False,0.0,254.67
34,1.0,5.972222222222222,28,67,50.0,B12,Regular,A,393.0,Centre,False,0.0,257.65
35,1.0,5.555555555555555,21,61,50.0,B12,Regular,A,393.0,Centre,False,0.0,249.27
36,1.0,7.083333333333334,13,28,77.0,B12,Regular,A,393.0,Centre,True,57.35,267.39
36,1.0,7.083333333333334,13,28,77.0,B12,Regular,A,393.0,Centre,False,0.0,275.4
37,1.0,6.055555555555555,21,56,113.0,B12,Diesel,A,393.0,Centre,False,0.0,271.23
38,1.0,5.972222222222222,12,52,50.0,B12,Diesel,A,393.0,Centre,False,0.0,357.46
38,1.0,5.972222222222222,12,52,50.0,B12,Diesel,A,393.0,Centre,False,0.0,376.11
39,1.0,6.388888888888889,23,51,140.0,B12,Regular,A,393.0,Centre,True,37.385555555555555,363.9
39,1.0,6.388888888888889,23,51,140.0,B12,Regular,A,393.0,Centre,True,142.42857142857142,363.9
39,1.0,6.388888888888889,23,51,140.0,B12,Regular,A,393.0,Centre,True,886.4325,485.81
40,1.0,6.222222222222222,16,66,50.0,B12,Regular,B,393.0,Centre,False,0.0,291.71
40,1.0,6.222222222222222,16,66,50.0,B12,Regular,B,393.0,Centre,False,0.0,277.14
41,1.0,7.083333333333334,20,67,86.0,B12,Diesel,A,393.0,Centre,False,0.0,241.73
41,1.0,7.083333333333334,20,67,86.0,B12,Diesel,A,393.0,Centre,False,0.0,244.3
41,1.0,7.083333333333334,20,67,86.0,B12,Diesel,A,393.0,Centre,True,371.4,232.15
42,1.0,7.666666666666666,12,59,59.0,B12,Diesel,A,393.0,Centre,True,57.5,374.24
42,1.0,7.666666666666666,12,59,59.0,B12,Diesel,A,393.0,Centre,False,0.0,376.11
43,1.0,8.055555555555555,0,55,68.0,B12,Diesel,A,393.0,Centre,False,0.0,689.93
44,1.0,8.055555555555555,0,55,68.0,B12,Diesel,A,393.0,Centre,False,0.0,376.67
45,1.0,5.694444444444445,12,51,50.0,B12,Diesel,A,393.0,Centre,False,0.0,292.99
46,1.0,5.972222222222222,14,51,59.0,B12,Regular,A,393.0,Centre,False,0.0,316.53
46,1.0,5.972222222222222,14,51,59.0,B12,Regular,A,393.0,Centre,False,0.0,321.26
46,1.0,5.972222222222222,14,51,59.0,B12,Regular,A,393.0,Centre,False,0.0,322.87
47,1.0,6.527777777777778,23,40,86.0,B12,Regular,A,393.0,Centre,True,55.095,152.97
47,1.0,6.527777777777778,23,40,86.0,B12,Regular,A,393.0,Centre,True,68.79,158.3
47,1.0,6.527777777777778,23,40,86.0,B12,Regular,A,393.0,Centre,False,0.0,165.79
48,1.0,6.527777777777778,23,51,86.0,B12,Regular,A,393.0,Centre,False,0.0,264.38
49,1.0,4.0,12,52,50.0,B12,Regular,A,393.0,Centre,False,0.0,93.47
50,1.0,6.027777777777778,13,45,50.0,B12,Regular,A,393.0,Centre,False,0.0,125.21
50,1.0,6.027777777777778,13,45,50.0,B12,Regular,A,393.0,Centre,False,0.0,127.71
50,1.0,6.027777777777778,13,45,50.0,B12,Regular,A,393.0,Centre,False,0.0,128.98
51,1.0,6.166666666666666,5,44,68.0,B12,Regular,B,393.0,Centre,False,0.0,462.39
51,1.0,6.166666666666666,5,44,68.0,B12,Regular,B,393.0,Centre,True,2442.39,471.62
51,1.0,6.166666666666666,5,44,68.0,B12,Regular,B,393.0,Centre,False,0.0,775.81
52,1.0,5.972222222222222,13,74,50.0,B12,Diesel,A,393.0,Centre,False,0.0,257.17
53,1.0,5.888888888888889,11,72,50.0,B12,Regular,B,393.0,Centre,False,0.0,308.15
53,1.0,5.888888888888889,11,72,50.0,B12,Regular,B,393.0,Centre,False,0.0,312.78
53,1.0,5.888888888888889,11,72,50.0,B12,Regular,B,393.0,Centre,False,0.0,312.78
54,1.0,6.805555555555555,14,71,50.0,B12,Diesel,A,393.0,Centre,False,0.0,286.23
55,1.0,8.333333333333332,14,72,50.0,B12,Regular,A,393.0,Centre,False,0.0,339.73
55,1.0,8.333333333333332,14,72,50.0,B12,Regular,A,393.0,Centre,False,0.0,343.15
56,1.0,5.666666666666667,19,69,104.0,B12,Diesel,A,393.0,Centre,True,90.97333333333334,411.56
57,1.0,5.694444444444445,19,63,50.0,B12,Diesel,B,393.0,Centre,False,0.0,292.17
57,1.0,5.694444444444445,19,63,50.0,B12,Diesel,B,393.0,Centre,False,0.0,302.39
57,1.0,5.694444444444445,19,63,50.0,B12,Diesel,B,393.0,Centre,False,0.0,302.39
57,1.0,5.694444444444445,19,63,50.0,B12,Diesel,B,393.0,Centre,False,0.0,303.91
58,1.0,6.666666666666666,16,60,59.0,B12,Regular,A,393.0,Centre,False,0.0,264.88
59,1.0,6.944444444444445,15,61,68.0,B12,Diesel,A,393.0,Centre,False,0.0,233.17
60,1.0,5.972222222222222,14,60,95.0,B12,Regular,A,393.0,Centre,True,46.300000000000004,296.72
60,1.0,5.972222222222222,14,60,95.0,B12,Regular,A,393.0,Centre,False,0.0,310.07
61,1.0,6.388888888888889,18,54,131.0,B12,Regular,A,393.0,Centre,False,0.0,302.34
61,1.0,6.388888888888889,18,54,131.0,B12,Regular,A,393.0,Centre,False,0.0,311.42
62,1.0,6.388888888888889,18,57,131.0,B12,Regular,A,393.0,Centre,False,0.0,262.16
